Epoch;TrainMSE;TestMSE
1;1216171.50725511;1380609.30652820
2;643107.19586131;713904.36994630
3;539960.60818879;605324.05982337
4;396439.07007069;460578.23103892
5;260910.87490034;315745.08072605
6;206904.58551105;247156.19012116
7;155890.47045692;185369.47161940
8;106660.73114469;128048.46651578
9;70201.81464486;86026.42950340
10;47954.63770530;61884.44681134
11;42355.97399146;55833.25575822
12;39872.32089010;53493.42280211
13;38711.10238648;52522.61554165
14;38216.89988130;52152.73740736
15;38043.17701044;52045.85203923
16;37966.13390500;52001.42439977
17;37911.20386939;51964.30195713
18;37866.44253495;51929.33812630
19;37837.77786439;51907.98491102
20;37809.96134153;51881.66688856
21;37789.69197243;51862.69382683
22;37793.86240986;51867.72112013
23;37797.18243183;51870.95903786
24;37811.77102564;51884.39923668
25;37827.89943837;51898.42453291
26;37839.21336570;51907.00785515
27;37849.27094591;51914.82998269
28;37861.14274578;51923.99840234
29;37869.44053293;51930.91732126
30;37886.18804812;51943.31797808
31;37877.21446415;51929.87777926
