Epoch;TrainMSE;TestMSE
1;8762959.59888737;9186460.01082856
2;7004533.72924898;7456445.43522833
3;5708840.11239658;6173416.74379799
4;4757683.35375512;5222915.70372343
5;3903613.18115621;4334608.13278303
6;3216470.66527293;3622845.01486708
7;2652002.19917439;3030604.46030267
8;2190782.42503056;2541889.11054897
9;1818064.05924561;2139670.19961834
10;1519148.29417288;1810022.81808903
11;1276940.68139539;1540261.59960946
12;1082685.21630672;1321347.45945946
13;928255.21081445;1145725.89251320
14;805889.86864624;1006455.89384458
15;709437.02581365;896795.86881463
16;633954.67540705;810955.55709404
17;575212.20232801;744227.00359473
18;529266.87185302;692059.08205743
19;492876.45575182;650584.65077886
20;464212.47460270;617815.56011184
21;441703.45134029;591999.15359695
22;423655.15879737;570951.50685661
23;414766.82500930;547075.16975103
24;410915.88980033;532541.71357564
25;395146.76512588;516804.75178627
26;379542.44416491;500456.83468690
27;363126.91302730;482447.83171349
28;345232.24860479;462421.91275019
29;326140.23549422;440124.40704744
30;305890.42368407;399297.74109084
31;281912.75332636;377263.58602938
32;262099.71489822;356256.22580216
33;244505.82995234;336628.28669063
34;220435.48925465;308063.76283673
35;189277.66362525;259286.31606976
36;167507.26361108;237494.92530955
37;149282.26607374;218124.51994852
38;134331.80801871;200902.77406471
39;115752.23032085;176299.05294457
40;99852.64511100;148457.59588160
41;88125.84674805;133815.57289309
42;78241.02560105;120633.91896330
43;69899.51575926;108587.44490303
44;63237.35648353;98388.35627746
45;58029.80677852;90169.90760218
46;53486.76037773;83012.13828607
47;49506.61190936;76643.87556029
48;46321.61777368;71205.79274841
49;43860.01651223;66501.74020326
50;41643.81567245;62149.79700883
51;39474.55323069;58003.25708960
52;37382.22957674;54197.23250344
53;35303.37650373;50808.79137265
54;33537.97749942;48035.70230329
55;32240.88755027;45905.20072782
56;31272.14868097;44254.54151689
57;30430.01739808;42940.83876980
58;29531.93784880;41876.08929126
59;28568.95912691;41030.60364798
60;27615.02428999;40349.45937070
61;26607.32958914;39731.75555851
62;25514.67498184;39126.53761150
63;24469.99741332;38583.17809435
64;23587.41129990;38174.47903075
65;22901.72924898;37915.15306439
66;22398.61438974;37773.09368482
67;22034.48916606;37699.29756357
68;21764.07745868;37658.59068921
69;21554.57590844;37634.29778547
70;21384.07554524;37620.42586429
71;21240.26462095;37616.27053655
72;21119.00898251;37623.83703901
73;21020.31996882;37644.91758754
74;20944.11593997;37679.63147384
75;20886.69588789;37722.56796698
76;20840.93446486;37765.58398793
77;20801.07832681;37801.32605512
78;20763.64190422;37826.18417432
79;20726.57512889;37838.77228953
80;20686.39469908;37837.26694182
81;20637.39035841;37817.90760218
82;20571.29380083;37774.66151866
83;20483.12499336;37703.02684951
