Epoch;TrainMSE;TestMSE
1;8759854.23538791;9183545.02143523
2;7003871.32136846;7453471.54981583
3;5705887.43362330;6170336.70012870
4;4708974.60390128;5156302.85181734
5;3862472.48487855;4291643.48679714
6;3170980.19594990;3573325.46008077
7;2602399.69214960;2979957.15581591
8;2138295.30875396;2486436.14538677
9;1767501.03176656;2078994.93897839
10;1458549.00356111;1737899.91638930
11;1205151.35651897;1458088.65574935
12;1003647.35821980;1232760.39373364
13;853039.11528445;1060297.21670439
14;725977.12127279;916384.52119114
15;615052.32081923;789402.97696712
16;540526.13673972;693336.84391781
17;493665.53244867;629959.31939822
18;460577.32267952;578514.46465184
19;415086.63565012;515833.69458128
20;373709.51026700;458486.55891359
21;382399.62241553;452092.75072116
22;338058.57009727;398764.31402831
23;330650.67583226;404543.80402077
24;286366.78957532;369741.80091421
25;213507.12952891;292465.83837039
26;172916.41393973;242668.50432699
27;152583.71043353;219661.79239338
28;142645.59658416;206933.20836107
29;125739.07411016;183755.22762171
30;108827.72581188;160717.32942795
31;93194.03263469;138747.63733191
32;81210.07770671;120776.01242622
33;72228.81505235;106231.59277504
34;65869.13608419;94594.94820929
35;71128.25044735;90866.40074557
36;75144.89194409;99002.36772733
37;89290.79347306;99664.55030400
38;84669.59502507;94284.74433054
39;77799.99787396;85466.44583500
40;71804.96798540;77919.91053122
41;72924.87217193;78716.26219323
42;78637.62308878;77297.61114809
43;76468.66906437;81497.58239027
44;54929.06953918;64124.77344339
45;49524.01481140;66636.03994142
46;39596.35993834;50998.70376781
47;45144.26632178;55713.90156659
48;54084.40515210;66127.40283140
49;56620.37581277;65344.93445169
50;54824.86076218;63009.43008033
51;51915.34681006;62861.12776816
52;48134.73075492;60359.97266232
53;67565.38157079;79597.63475791
54;69284.29119643;96753.36688413
55;90712.96933189;118358.76483380
56;79231.78909697;106588.82030799
57;79562.64833549;102589.84422846
58;60390.60092483;86859.99449696
