Epoch;TrainMSE;TestMSE
1;10617573.94327020;11013009.52451959
2;10081393.95113654;10488175.46389739
3;9579316.06356856;9992361.87138863
4;9099378.62239782;9524321.02392047
5;8651405.69962617;9082587.06501576
6;8230599.62765976;8666667.01318067
7;7833362.15580320;8276127.51005192
8;7458614.62161827;7909347.82443527
9;7110226.97333593;7566215.25407181
10;6784753.64498698;7245077.07486797
11;6481500.29842496;6944615.03395021
12;6193019.63453396;6660052.00976346
13;5921635.59612352;6387924.04384680
14;5661319.74898570;6128067.53614698
15;5414415.77463990;5880462.85465761
16;5180805.24082703;5643835.37318599
17;4957496.57190440;5417058.43269871
18;4744069.44946229;5199469.63475791
19;4540294.55613628;4990946.09754582
20;4346143.15468703;4791715.40691430
21;4161087.52490123;4601692.49083566
22;3985062.06459614;4420298.20512138
23;3816918.73557394;4246995.21448542
24;3655752.75020818;4080995.69378245
25;3501414.32652410;3921813.20552079
26;3353641.63634109;3769124.18515067
27;3211805.65342027;3622524.35876270
28;3076415.52036568;3481777.05161319
29;2946300.84779335;3346495.07690942
30;2821427.67351133;3216377.41055341
31;2701588.74106621;3091208.46403053
32;2586645.87948904;2970741.74659388
33;2476286.46244884;2854758.39772778
34;2370599.02386478;2743057.00758887
35;2269134.50808781;2635442.34678028
36;2172041.24571692;2531784.44414858
37;2079006.02987084;2431975.50543647
38;1989513.18675478;2335889.74038077
39;1903817.28767075;2243431.89739493
40;1821728.34753645;2154522.90311987
41;1743137.94858530;2069017.69884170
42;1668126.78730755;1986735.41561266
43;1596275.56125649;1907784.21124573
44;1527500.81632798;1832078.10482404
45;1461612.42230215;1759516.02787023
46;1398773.65894797;1690011.27235610
47;1338631.69682689;1623493.12670306
48;1281254.75059795;1559865.43043536
49;1226491.00636040;1499046.56530422
50;1174190.31929557;1440948.45994763
51;1124352.32655954;1385476.31722363
52;1076870.64231171;1332532.70421160
53;1031596.50054037;1281928.39018329
54;988300.07589958;1233296.82013048
55;946812.93623656;1186259.62348555
56;907189.43557217;1140627.02418675
57;869630.73458179;1096760.94190742
58;834386.25218362;1055480.74024764
59;801304.60988962;1017282.03647983
60;769771.36778697;981216.58651755
61;739683.47819925;946673.88949541
62;711441.15798239;914026.95353482
63;684983.30421842;883437.10646607
64;659850.41135305;854518.52483025
65;635809.38844498;826996.45142680
66;612777.43450915;800765.63688812
67;590597.98238931;775520.96711490
68;569137.83207838;751039.76425687
69;548600.79301242;727508.44148582
70;529094.44841699;705090.87152177
71;510512.37616711;683648.67598633
72;492797.17435289;663059.83650646
73;475802.83457648;643124.94279501
74;459392.74609783;623652.31012293
75;443440.42152260;604519.32933919
76;427855.07729922;585685.55487507
77;412655.36360576;567254.91820885
78;398018.96511525;549555.84644743
79;384309.95942810;533073.45919318
80;371874.57222330;518121.32321484
81;360791.43178073;504560.65113389
82;350867.32370710;491904.82368082
83;341785.23125986;479736.16083078
84;333269.97360169;467862.56885457
85;325058.67030456;456181.02516309
86;316946.20569424;444626.18062397
87;308827.57273710;433168.22367195
88;300689.92675797;421818.01553277
89;292574.30540545;410610.86655128
90;284543.71652818;399584.76829539
91;276426.44423578;388527.49514046
92;266389.85454352;375294.90933298
93;257080.87578619;363068.10029734
94;248524.92518116;351782.78684596
95;240310.39257304;340947.69165224
96;232393.11985543;330513.21208894
97;224768.35377283;320470.57737540
98;217445.51012526;310822.05973461
99;210428.94303988;301570.34038965
100;203734.76278724;292722.94039853
101;197358.72409333;284276.04242666
102;191302.64117783;276217.89908135
103;185540.00829155;268512.47290640
104;180021.15210035;261095.48271424
105;174681.21425155;253898.37553810
106;169469.52359017;246879.70603115
107;164361.67886186;240021.18279856
108;159349.80635331;233318.80672791
109;154435.30301366;226769.03315138
110;149614.04149319;220367.24945635
111;144883.93543929;214107.29791861
112;140244.68550573;207984.49775884
113;135697.94263239;201996.21319842
114;131249.53046436;196142.51240403
115;126909.15507680;190428.56468291
116;122685.20723562;184857.58523055
117;118583.96414081;179436.28846581
118;114611.34014847;174169.54830693
