Epoch;TrainMSE;TestMSE
1;10514991.86818560;10913009.17374517
2;9884040.52456461;10293436.14006124
3;9296853.38398030;9716295.87041229
4;8750658.31879950;9177392.20521014
5;8239201.64130184;8675831.52460835
6;7767238.05835976;8210014.18364177
7;7325524.04826108;7779000.75444903
8;6923713.58177276;7380292.15532774
9;6549016.55546303;7012218.21151201
10;6205718.59157026;6672540.87427329
11;5889624.63370126;6359011.91532419
12;5589395.37359814;6058307.74632761
13;5305175.36828305;5768162.32476812
14;5035186.97276899;5495828.22278436
15;4779423.80100278;5236357.81121023
16;4537744.77926404;4989021.43380819
17;4307471.82906649;4753183.95881596
18;4089011.91616321;4528330.22784361
19;3882209.45307656;4314422.79465673
20;3686087.08339387;4111491.10726490
21;3500625.06840529;3919294.49181201
22;3325568.83680882;3737286.88767585
23;3159253.66064880;3564840.07065193
24;3002272.86232128;3401278.55429814
25;2853078.69475400;3246039.55443128
26;2711922.53622238;3098511.93396352
27;2577611.35588115;2958227.06963121
28;2450636.87982566;2824730.88039764
29;2330407.38217317;2697646.72258465
30;2216176.71066386;2576606.13251675
31;2108185.50339280;2461303.35987219
32;2006257.70848467;2351494.27701593
33;1909609.29277324;2246952.20698531
34;1818121.24344914;2147442.47459282
35;1731701.68842903;2052793.48156038
36;1650078.05935191;1962786.91270581
37;1572479.38543309;1877269.89286824
38;1499377.65405808;1796063.00732259
39;1430256.46574420;1719015.74401988
40;1364842.23616746;1645967.41135224
41;1303267.76620662;1576766.40660365
42;1245085.16131318;1511289.39351174
43;1190322.28790107;1449373.04469001
44;1138766.51942668;1390886.75276261
45;1090172.86366777;1335686.73146052
46;1044449.52110979;1283641.91896330
47;1001466.73876300;1234623.88922913
48;960966.67972999;1188496.39976923
49;922918.79255178;1145130.20654152
50;887201.37937388;1104376.34260862
51;853610.01392555;1066114.19837572
52;822070.24063214;1030201.89624107
53;792533.43840689;996522.00772201
54;764811.50895594;964955.92277992
55;738815.26524104;935386.94004349
56;714505.01213614;907697.08569653
57;691724.07363181;881780.38326011
58;670438.34239853;857519.04069587
59;650535.48195525;834808.17219190
60;631931.09480361;813543.16460303
61;614548.98371809;793624.22189677
62;598287.84267314;774963.09093330
63;583091.39457506;757474.24524031
64;568871.14178906;741087.42768384
65;555588.29629892;725744.28757822
66;543170.10789646;711391.01868371
67;531577.20801517;697976.35965029
68;520753.17442375;685442.59601473
69;510650.65598923;673740.01153863
70;501217.51203869;662816.52687170
71;492421.59459986;652622.88022012
72;484212.54093510;643110.44601252
73;476565.16967560;634231.46212222
74;469421.57092996;625940.21142325
75;462758.88553054;618185.88701016
76;456522.21519055;610922.72631252
77;450659.05639318;604096.74131274
78;445127.10153606;597661.62410687
79;439868.33187463;591577.83801536
80;434855.13498574;585816.75302889
81;430069.07839768;580379.09625882
82;425542.96320181;575262.00470421
83;421261.76765941;570408.08201305
84;417168.67041086;565691.31069986
85;413188.52647804;560854.74779213
86;409134.76151161;555299.07176142
87;405217.71613841;550087.00128700
88;401522.91267296;545547.82692052
89;398020.45277537;541250.55341055
90;394676.66452882;537060.52882439
91;391519.99489751;532944.12426219
92;388582.88212887;528718.10766431
93;385741.77786439;523359.56969778
94;381008.26107755;505414.18896729
95;387920.36539518;490498.49944526
96;376849.70678384;486247.98828385
97;366794.28549156;478568.96533972
98;357689.29759226;470757.15368571
99;349228.93822086;463232.82368082
100;341341.07400386;456020.01544402
101;333943.62964407;449036.97439311
102;326939.90723385;442165.27226734
103;320222.94038233;435300.20503262
104;313720.12401892;428390.46589447
105;307406.53076555;421463.27608397
106;301322.79914250;414617.34096658
107;295531.48344347;407961.90902232
108;290091.87236681;401565.05605113
109;285007.08637032;395449.77694936
110;280217.67347590;389620.97971863
111;275624.17816204;384070.43891182
112;271119.94245522;378757.52718235
113;266611.53404319;373629.30173523
114;262039.15624612;368642.22677850
115;257362.44267668;363774.46624950
116;252568.13138919;359021.43025784
117;247681.96616055;354369.39457684
118;242787.14710416;349787.50241867
119;237975.58258774;345236.60338171
120;233295.14986801;340672.48000710
121;228739.42660737;336034.14583056
122;224282.23361621;331264.22722230
123;219911.57890261;326363.13318244
124;215664.94424464;321459.74419740
125;211570.95802845;316732.47521413
126;207604.23932108;312165.51156082
127;203723.04292826;307643.31069986
128;199899.57500487;303108.36266809
129;196118.97709193;298541.60351484
130;192370.92627961;293935.26223761
131;188649.94362454;289283.63555674
132;184948.80853250;284582.67891537
133;181265.43465089;279828.32503439
134;177600.67466293;275018.82430213
135;173953.47632124;270153.63138508
136;170328.50217033;265235.31389518
137;166732.08383679;260267.34833356
138;163171.35120387;255256.61953579
139;159651.34780221;250208.89894821
140;156174.61353932;245128.48107221
141;152738.49965452;240022.56885457
142;149338.67016282;234899.34229796
143;145970.19038676;229776.86557493
144;142631.37310207;224677.29285936
145;139319.53326365;219627.52727111
146;136033.04714491;214647.90520570
147;132773.32076608;209749.49238894
148;129538.58526301;204936.56060001
149;126331.70710274;200212.33639551
150;123159.75267084;195577.22877557
151;120026.34133551;191022.92140416
152;116940.52605283;186542.74530688
153;113914.78865404;182135.09856655
154;110966.41865245;177810.55838104
155;108115.84416137;173585.67789464
156;105386.07855713;169484.72444859
157;102798.10329004;165529.15918875
158;100369.00830927;161738.47778813
159;98108.77182290;158128.59716860
160;96021.29440320;154711.32152842
161;94098.43020392;151493.95606444
162;92320.95756781;148473.11516443
163;90655.10479599;145633.26818444
164;89063.03633754;142946.87578219
165;87516.99463175;140387.27342120
166;86002.09400634;137931.79567745
167;84517.60877345;135567.93396352
168;83067.91120245;133287.54236009
169;81659.24220895;131085.15617095
170;80296.64532360;128955.93556118
171;78980.07519090;126892.83663960
172;77710.37542299;124889.71304309
173;76483.65451872;122937.32818533
174;75296.46546073;121028.57000843
175;74144.84871463;119156.53095460
176;73023.96938504;117313.19007678
177;71931.46445086;115495.36626281
178;70864.70329359;113699.71934496
179;69822.57016813;111926.28340656
180;68804.24414011;110176.41042027
181;67811.14483638;108453.64505392
182;66842.49214252;106760.21408601
183;65899.59683220;105101.13912928
184;64984.12798753;103479.19229574
185;64095.40981167;101896.90711401
186;63233.46951792;100355.30608441
187;62397.70841380;98854.13926242
188;61587.72283543;97393.39528691
189;60802.57392414;95971.26774065
190;60040.11182963;94585.49008121
191;59299.62900625;93234.01162739
192;58578.22723810;91913.77623929
193;57876.13783817;90624.64758354
194;57192.05456833;89364.07508987
195;56524.65304821;88131.14418852
196;55872.58621973;86923.79851773
197;55235.84501178;85742.77086939
198;54613.51777900;84586.19234012
199;54005.97190086;83454.42080504
200;53411.36594440;82346.63826388
201;52831.19210531;81262.90152221
202;52263.80397924;80202.83566325
203;51709.33309711;79166.44636755
204;51167.53453927;78153.60866285
205;50637.56922913;77163.29436826
206;50120.60280283;76197.14516487
207;49615.56940630;75253.41712156
208;49122.16062222;74332.89983580
209;48639.86393353;73434.54240447
210;48168.97415091;72558.90720277
211;47709.28717467;71705.80677229
212;47260.05010364;70874.66169618
213;46821.69835055;70065.09137709
214;46393.57879631;69277.23782896
215;45975.19706607;68510.98744064
216;45567.25163439;67765.32339236
217;45168.67211169;67040.83078152
218;44779.59002888;66336.48142724
219;44400.18680793;65652.29805175
220;44030.34906011;64987.83757156
221;43669.10617791;64342.74211157
222;43316.92985844;63716.75036613
223;42973.63867973;63109.07841832
224;42638.80630016;62519.37975414
225;42312.61414170;61947.62597080
226;41993.91471042;61392.60142902
227;41683.76478926;60854.55039276
