Epoch;TrainMSE;TestMSE
1;10508140.21366689;10905275.61744996
2;9878954.90402707;10286784.52545156
3;9290909.71011463;9710141.59996450
4;8744986.92301968;9171753.45670794
5;8233724.14931878;8670689.39315670
6;7761087.70859097;8205281.41587893
7;7321524.05676523;7774608.27479697
8;6920287.17396311;7376368.66249501
9;6545247.04243219;7008536.11964674
10;6200963.30414755;6668646.46589447
11;5875924.80796556;6341634.68122310
12;5569243.31194302;6035013.28007811
13;5281138.26408944;5745388.83379932
14;5009997.47625038;5470306.97803222
15;4753409.92307283;5208603.97106466
16;4509443.53319278;4959443.63484667
17;4279893.94865617;4723309.49842453
18;4062868.28524352;4499998.33417654
19;3857656.82022571;4288723.04406870
20;3663198.01739808;4088408.95752896
21;3479016.11579824;3898129.73470022
22;3304058.57775101;3717071.01087294
23;3137396.81306805;3544675.09164337
24;2979348.38275783;3380384.64616341
25;2828536.80208352;3223665.24759242
26;2685182.09960491;3073997.73842808
27;2549045.37887781;2931005.47499223
28;2419388.76048403;2794299.45271380
29;2295706.73025885;2663568.64971375
30;2178254.44005457;2538580.39036080
31;2067106.78085857;2419091.81946479
32;1961139.22675974;2304954.42453291
33;1860187.19175097;2196025.50996317
34;1764806.11732190;2092148.01970443
35;1674152.75417678;1993135.08614033
36;1588195.89773754;1898826.19944082
37;1506789.68474390;1809103.56756757
38;1429597.25089028;1723818.13269427
39;1356932.81902096;1642888.45834998
40;1288679.40825257;1566268.00940842
41;1224391.44623780;1493828.45071673
42;1162987.65806212;1425217.95127147
43;1104577.62259270;1360145.75742245
44;1049388.26242404;1298371.46798030
45;997787.71900856;1239082.80868060
46;949117.57574899;1182884.64527582
47;902959.47359283;1130593.16025385
48;859090.98921035;1080974.99099099
49;817512.63058307;1033924.52456397
50;778069.31821484;989143.19087560
51;740877.59757632;946899.65756890
52;705764.97266269;907053.04682022
53;672421.86503198;869147.00536990
54;640738.84095459;832852.96977766
55;610840.13819251;798302.54719744
56;582864.79854012;765674.42524298
57;556708.32294527;734985.87280877
58;532212.58402282;706224.34722407
59;509504.61343302;679581.53321795
60;488658.93931931;655120.28047752
61;469512.42705030;632531.79390228
62;451970.66463512;611587.44241779
63;436015.90900555;592314.81081081
64;421597.43458002;574668.72728887
65;408628.77564977;558296.72462610
66;397046.57966444;542836.47414903
67;386889.34436511;528216.76439001
68;378425.10256365;514536.34615897
69;372214.52070230;501999.85585586
70;369250.77518913;491132.22242933
71;370399.97448754;483184.48639773
72;374116.98400156;479484.58030444
73;375580.47871304;478217.22522523
74;372217.78629768;475258.29103981
75;364797.55533901;468801.54227134
76;354709.40552416;459026.07553366
77;342816.39742749;446825.10167310
78;330943.92629733;434826.67376736
79;326213.16712436;428663.95065016
80;319226.28067254;416984.13384813
81;308962.11526673;402364.78764479
82;299486.51857626;389650.97306173
83;290650.65202062;378341.66493587
84;282031.22186985;367770.73838370
85;273501.16017930;357622.19535792
86;265003.97214889;347667.74561754
87;254761.34153039;335057.24901256
88;243409.29745053;321584.96640483
89;234565.08548447;311661.53250788
90;226727.42072533;302821.06279679
91;219505.41140620;294543.26365775
92;212736.37645058;286612.06940931
93;206331.49166416;278885.42067190
94;200243.40591393;271286.10730928
95;194448.31663802;263785.40842320
96;188932.34505607;256369.66795367
97;183656.44916110;248997.75866507
98;178560.92298425;241641.59588160
99;173662.05821803;234413.97275108
100;169071.06652729;227499.03022234
101;164803.64091207;220883.70301336
102;160755.97172369;214414.54790751
103;156818.69780132;207950.20991435
104;152917.49056570;201407.25300670
105;149008.72710522;194745.95872720
106;145068.43250713;187951.84165446
107;141075.31690378;181024.52687170
108;137008.20835179;173990.48577642
109;132850.42510143;166908.96658235
110;128619.81000301;159907.78183109
111;124390.77327569;153154.22393822
112;120294.86398668;146818.43695913
113;116477.61883670;141035.93627125
114;113013.00356111;135838.28305152
115;109887.20287724;131155.56099942
116;107039.48578212;126870.48932677
117;104406.86256932;122872.84249767
118;101935.04271566;119074.25376115
119;99587.13406445;115417.02001509
120;97345.69289372;111869.01202681
121;95201.58460748;108419.85709848
122;93155.58024910;105075.79248214
123;91212.79591801;101849.57670971
124;89380.62455929;98757.86517552
125;87665.93299435;95816.27941242
126;86071.66933012;93035.53863223
127;84596.94459898;90421.38587849
128;83236.19821767;87972.68503972
129;81978.98028099;85684.08503084
130;80812.91781089;83543.70780633
131;79719.73254434;81536.36923623
132;78685.15564375;79645.30031509
133;77692.17879985;77849.68748058
134;76733.39999646;76134.71015843
135;75802.36514714;74485.27510762
136;74902.60744468;72893.56020059
137;74037.91407260;71361.26960458
138;73209.65023121;69891.36857054
139;72415.58443031;68496.36568588
140;71653.16315575;67190.28624684
141;70924.36844250;65988.61545289
142;70229.43160356;64902.27133537
143;69577.56433924;63940.75178627
144;68974.01427989;63107.15838992
145;68422.55953794;62399.19620113
146;67920.49239055;61809.34416190
147;67464.12543628;61326.14458794
148;67042.73663696;60934.16908534
149;66647.76287582;60616.69977367
150;66269.63867973;60356.63249456
151;65901.77389579;60138.68086806
152;65536.48983931;59949.12634802
153;65169.66823167;59776.16473616
154;64801.28185958;59612.82030799
155;64429.82492072;59451.60040829
156;64055.28834399;59289.52274442
157;63679.63148663;59123.01992633
158;63302.34636713;58951.62614832
159;62926.24049041;58775.97195225
160;62551.76287582;58595.17685173
161;62182.24715199;58411.76869480
162;61817.80217210;58226.10535659
163;61458.97220204;58040.18071273
164;61108.56021119;57854.96045799
165;60765.60466311;57671.01264812
166;60431.56146909;57490.34820042
167;60106.57123115;57312.76261483
168;59791.55920132;57139.69307238
169;59485.11482380;56971.43496206
170;59190.65336711;56809.24936759
171;58905.51246390;56652.19899703
172;58631.12534770;56501.63014246
173;58366.36266676;56356.86681756
174;58111.81857803;56217.80109173
175;57867.39783498;56085.75653486
176;57632.83284021;55959.79585497
177;57408.00113389;55840.66888563
178;57192.03189058;55726.85323747
179;56984.45794873;55617.91150757
180;56785.99592509;55515.65579372
181;56595.48018355;55418.46145653
182;56413.80876282;55326.91359340
183;56239.07673228;55239.72839835
184;56071.12534770;55157.50801047
185;55910.10428220;55079.47987396
186;55755.58719416;55005.63262770
187;55608.14556278;54936.62521635
188;55464.67253690;54869.69120845
189;55326.99594281;54806.82447965
190;55194.62140567;54747.35472418
191;55065.95241217;54689.99245551
192;54941.94596318;54635.68632672
193;54821.73123328;54583.35135135
194;54704.46007477;54533.48173790
195;54590.86724660;54485.31629166
196;54479.80979041;54439.26969334
197;54371.31038393;54394.41601207
198;54265.16039190;54351.01087294
199;54160.45724005;54308.45781742
200;54058.63416190;54267.12608175
201;53957.82251121;54227.14631873
202;53858.09485676;54187.68348644
203;53760.09524653;54149.08409888
204;53663.65586521;54111.19478099
205;53567.61107666;54073.38499090
206;53472.14230285;54035.76833977
207;53378.19747356;53999.63999467
208;53284.18914657;53963.06856610
209;53190.21256843;53926.65051258
210;53097.69190156;53891.24927884
211;53004.56800666;53855.21750322
212;52912.21061956;53819.29365819
213;52820.16618536;53783.75041051
214;52727.77251386;53748.15035725
215;52636.34491434;53713.06723472
216;52545.14862782;53677.80233435
217;52453.42168205;53642.58855900
218;52361.87615825;53606.96578352
219;52270.71162057;53572.06443882
220;52179.27948550;53537.04380242
221;52088.60025158;53502.23334665
222;51997.36314512;53466.79802956
223;51906.28478288;53431.55017086
224;51815.33795156;53396.19438157
225;51724.44554683;53361.63955088
226;51633.48964442;53326.39737274
227;51543.81276686;53291.97887543
228;51453.99982283;53257.56605867
229;51363.67889729;53222.98850575
230;51273.69813794;53188.62681401
231;51184.13464912;53154.47530289
232;51095.27417040;53120.67030577
233;51007.10309516;53087.29135046
234;50918.41496731;53053.87263125
235;50830.27110536;53020.63000932
236;50742.75768474;52987.96112369
237;50655.21705083;52954.69577952
238;50568.23428946;52922.34500510
239;50481.46923445;52889.94310567
240;50396.36419042;52858.56938712
241;50311.14122212;52827.58194648
242;50225.84114948;52796.10029734
243;50141.38015343;52765.14125949
244;50057.85801605;52735.15927750
245;49975.23845295;52706.07482359
246;49893.10872916;52676.71770292
247;49811.02889641;52647.27537390
248;49730.03305990;52618.98619802
249;49649.80373120;52591.17418897
250;49569.90096203;52563.63484667
251;49491.13208015;52536.48746283
252;49412.89385752;52509.59570408
253;49335.84848431;52484.06727910
254;49259.19316833;52458.94785426
255;49184.24321882;52434.43624906
256;49109.21616498;52410.25411619
257;49035.33660507;52386.54346958
258;48961.68835817;52362.81010074
259;48889.01071878;52340.13899614
260;48818.11101465;52318.19500288
261;48747.20223943;52296.78498203
262;48677.68134224;52276.23840589
263;48608.85438407;52255.88496871
264;48541.00710451;52236.50858741
265;48473.80840848;52217.27990059
266;48407.59392662;52199.09643634
267;48342.62218521;52181.24812497
268;48278.53034034;52164.34278614
269;48214.92833478;52147.79532242
270;48152.97726910;52131.97497004
271;48091.36636961;52116.79084010
272;48031.27487908;52102.44175210
273;47972.02246514;52088.54142813
274;47913.08753964;52074.94217370
275;47855.21393264;52061.67807216
276;47798.18847333;52049.64665158
277;47742.59624754;52038.20600896
278;47687.97462927;52027.47543603
279;47634.03787892;52017.37540496
280;47581.61600198;52008.43420761
281;47529.43904470;51999.16353792
282;47478.65450100;51990.56317401
283;47428.99023794;51983.08187991
284;47379.92920291;51975.94141925
285;47331.46686037;51969.24404207
286;47284.23365165;51963.38738739
287;47238.34296547;51958.93383038
288;47193.63152207;51954.56548174
289;47149.26478040;51950.51524431
290;47105.59651330;51947.09554875
291;47063.47940400;51944.65858962
292;47021.60721436;51942.16482492
293;46980.92333859;51940.36408823
294;46940.93340184;51939.38703235
295;46902.09095902;51939.13708783
296;46864.05130840;51939.05187947
297;46827.14554506;51940.26183819
298;46790.82486757;51941.47179692
299;46756.07349007;51944.12461723
300;46721.27675708;51946.54453468
301;46688.65708768;51950.44707762
302;46655.19380614;51953.77588426
303;46623.52206651;51958.51914969
304;46592.33563064;51963.28513735
305;46562.62324823;51969.26676430
306;46533.84065340;51975.83916922
