Epoch;TrainMSE;TestMSE
1;0.027399850914307355;0.03824390893356411
2;0.025007838988974497;0.036212534983413217
3;0.02383599167176953;0.03576733832913116
4;0.023421128222000515;0.03605924689361853
5;0.02340166591946189;0.03667534902802279
6;0.02357374476864381;0.03739939559999501
7;0.023806784160292242;0.03808504904612124
8;0.02402027690338594;0.038635576241651134
9;0.024168676149223554;0.03899031041365026
10;0.024233700439492054;0.03912039035456331
11;0.02423305162398349;0.039077029471358674
12;0.024224958731873306;0.03901648188126165
13;0.0242003145561396;0.03890672532282513
14;0.024147890263047454;0.03871187763589097
15;0.024074329723404585;0.038455323034896044
16;0.02398971553021411;0.038174487639482925
17;0.023892397529365908;0.0378758398272811
18;0.023781644722053664;0.037475707829038245
