Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
3979;1546.272695;337.988570;2089.000000;300.000000;-542.727305;37.988570;544.055198;1527.000000;227.000000
3980;1564.876646;339.060098;2103.700000;300.000000;-538.823354;39.060098;540.237261;1547.000000;229.000000
3981;1624.343734;368.286802;2118.400000;300.000000;-494.056266;68.286802;498.753126;1602.000000;275.000000
3982;1660.544993;326.797017;2133.100000;300.000000;-472.555007;26.797017;473.314181;1656.000000;212.000000
3983;1636.295082;351.201245;2147.900000;300.000000;-511.604918;51.201245;514.160636;1621.000000;249.000000
3984;1704.369454;361.429523;2162.600000;300.000000;-458.230546;61.429523;462.329774;1692.000000;266.000000
3985;1718.967580;393.168045;2177.300000;300.000000;-458.332420;93.168045;467.705988;1697.000000;315.000000
3986;1762.586019;368.233554;2192.000000;300.000000;-429.413981;68.233554;434.801317;1752.000000;278.000000
3987;1752.271826;366.555865;2206.700000;300.000000;-454.428174;66.555865;459.276223;1742.000000;275.000000
3988;1664.470950;278.542767;2221.500000;300.000000;-557.029050;-21.457233;557.442172;1677.000000;138.000000
3989;1692.974845;256.040037;2236.200000;300.000000;-543.225155;-43.959963;545.000961;1716.000000;104.000000
3990;1636.422662;267.816951;2250.900000;300.000000;-614.477338;-32.183049;615.319549;1650.000000;121.000000
3991;1641.149628;262.546857;2265.600000;300.000000;-624.450372;-37.453143;625.572542;1657.000000;113.000000
3992;1731.367794;296.602785;2280.400000;300.000000;-549.032206;-3.397215;549.042716;1744.000000;167.000000
3993;1747.090419;308.784608;2295.100000;300.000000;-548.009581;8.784608;548.079985;1757.000000;186.000000
3994;1803.819451;316.480268;2309.800000;300.000000;-505.980549;16.480268;506.248867;1813.000000;200.000000
3995;1759.552608;334.534000;2324.500000;300.000000;-564.947392;34.534000;566.001902;1761.000000;226.000000
3996;1818.214020;318.700146;2339.300000;300.000000;-521.085980;18.700146;521.421417;1827.000000;204.000000
3997;1820.240399;324.493292;2354.000000;300.000000;-533.759601;24.493292;534.321282;1827.000000;213.000000
3998;1667.993938;275.241841;2368.700000;300.000000;-700.706062;-24.758159;701.143318;1682.000000;133.000000
3999;1722.039239;290.204495;2383.400000;300.000000;-661.360761;-9.795505;661.433298;1736.000000;157.000000
4000;1713.458795;315.065308;2398.200000;300.000000;-684.741205;15.065308;684.906915;1718.000000;195.000000
4001;1930.768258;334.578928;2412.900000;300.000000;-482.131742;34.578928;483.370168;1937.000000;233.000000
4002;1858.119525;321.548555;2427.600000;300.000000;-569.480475;21.548555;569.888017;1867.000000;210.000000
4003;1958.767925;292.268233;2442.300000;300.000000;-483.532075;-7.731767;483.593888;1981.000000;169.000000
4004;1939.740909;193.379651;2457.100000;300.000000;-517.359091;-106.620349;528.231320;1997.000000;16.000000
4005;1960.321322;238.310602;2471.800000;300.000000;-511.478678;-61.689398;515.185422;2002.000000;86.000000
4006;1953.194700;254.088342;2486.500000;300.000000;-533.305300;-45.911658;535.277893;1989.000000;110.000000
4007;2031.414065;216.303560;2501.200000;300.000000;-469.785935;-83.696440;477.183318;2083.000000;55.000000
4008;2248.609432;306.083740;2516.000000;300.000000;-267.390568;6.083740;267.459769;2274.000000;202.000000
4009;2006.209762;341.689691;2530.700000;300.000000;-524.490238;41.689691;526.144505;2012.000000;247.000000
4010;1890.511128;336.287216;2545.400000;300.000000;-654.888872;36.287216;655.893434;1895.000000;234.000000
4011;2041.331513;353.108658;2560.100000;300.000000;-518.768487;53.108658;521.479887;2044.000000;266.000000
4012;2353.589868;425.448293;2574.800000;300.000000;-221.210132;125.448293;254.305322;2339.000000;390.000000
4013;1973.734791;360.082880;2589.600000;300.000000;-615.865209;60.082880;618.789066;1972.000000;274.000000
4014;1947.836963;355.567136;2604.300000;300.000000;-656.463037;55.567136;658.810615;1947.000000;266.000000
4015;1935.749477;337.696075;2619.000000;300.000000;-683.250523;37.696075;684.289610;1941.000000;238.000000
4016;2149.524154;389.889397;2633.700000;300.000000;-484.175846;89.889397;492.449341;2142.000000;327.000000
4017;2068.544692;353.042653;2648.500000;300.000000;-579.955308;53.042653;582.375895;2072.000000;267.000000
4018;2287.278027;349.889360;2663.200000;300.000000;-375.921973;49.889360;379.217982;2298.000000;271.000000
4019;2237.010487;386.939206;2677.900000;300.000000;-440.889513;86.939206;449.379559;2233.000000;326.000000
4020;2264.334910;342.697524;2692.600000;300.000000;-428.265090;42.697524;430.388274;2277.000000;259.000000
4021;2332.847516;377.273639;2707.400000;300.000000;-374.552484;77.273639;382.440556;2335.000000;315.000000
4022;2384.137127;407.105857;2722.100000;300.000000;-337.962873;107.105857;354.528656;2377.000000;363.000000
4023;2313.033753;320.629746;2736.800000;300.000000;-423.766247;20.629746;424.268097;2335.000000;227.000000
4024;2303.683546;318.926728;2751.500000;300.000000;-447.816454;18.926728;448.216239;2326.000000;224.000000
4025;2336.533610;354.440696;2766.300000;300.000000;-429.766390;54.440696;433.200807;2347.000000;280.000000
4026;2301.040268;378.109987;2781.000000;300.000000;-479.959732;78.109987;486.274115;2302.000000;315.000000
4027;2361.269858;347.294250;2795.700000;300.000000;-434.430142;47.294250;436.996904;2375.000000;270.000000
4028;2354.424198;341.627937;2810.400000;300.000000;-455.975802;41.627937;457.872053;2370.000000;261.000000
4029;2397.299713;380.775633;2825.200000;300.000000;-427.900287;80.775633;435.457643;2400.000000;323.000000
4030;2349.850355;311.866440;2839.900000;300.000000;-490.049645;11.866440;490.193295;2376.000000;215.000000
4031;2324.437956;317.081899;2854.600000;300.000000;-530.162044;17.081899;530.437163;2348.000000;222.000000
4032;2384.584697;319.397919;2869.300000;300.000000;-484.715303;19.397919;485.103293;2409.000000;228.000000
