Epoch;TrainMSE;TestMSE
1;1227101.16471485;1373548.05556295
2;715094.12554258;783688.51799583
3;593048.23117127;637981.49345405
4;521692.03309534;569221.11818222
5;347194.98028099;398767.35880708
6;260880.17830378;307291.86597435
7;211315.09863048;250348.61793814
8;167151.71284305;198558.43074602
9;123670.77299222;148095.75573603
10;87832.14272806;106639.27501886
11;62397.38638981;77833.65694759
12;47962.27103449;62061.02125771
13;40729.61678153;54659.01637598
14;37399.13583615;51604.10349266
15;36113.95623904;50553.96156748
16;35655.43716670;50235.97532508
17;35220.62314193;49900.97581325
18;35622.37981681;50292.74681578
19;35965.23558280;50627.08170239
20;36172.47162624;50831.94532463
21;36384.09127793;51034.37766831
22;36542.21639530;51189.09901034
23;36689.78502206;51330.42559801
24;36834.72303031;51470.62743532
25;36997.61274206;51626.67802778
26;37148.17936679;51772.73083921
27;37257.67205854;51880.68415213
