Epoch;TrainMSE;TestMSE
1;8304031.11159931;8736074.88110771
2;6321293.96268802;6779040.14627435
3;4963747.93742360;5409842.21612746
4;3849320.69861630;4275977.14569742
5;3067353.13034389;3459291.86029379
6;2375841.10270538;2735060.60054143
7;1842729.17371508;2172018.83814849
8;1443617.25011073;1737228.61083744
9;1153784.77487022;1417870.03665735
10;901869.20014882;1128081.89943638
11;752552.97188314;962920.64722851
12;611408.78720125;794761.06048906
13;529370.97177684;710099.57804110
14;448942.26033343;617071.58886966
15;566160.15335826;657440.26556606
16;483016.13564127;569669.10966139
17;458854.53969491;559056.10153996
18;431462.94335879;540897.58629566
19;477611.82927910;567801.25149780
20;526578.12575519;616209.28025563
21;449582.42588098;527532.18905605
22;438093.48078593;448919.00057693
23;345178.22114345;439128.58261217
24;340477.17888844;446865.41090845
25;285343.91439151;395441.27883549
26;256892.97705650;279562.77033684
27;231767.68577149;335987.06537079
28;221198.24162429;263299.99343186
29;247872.91277926;268425.85576710
30;200987.63510090;230006.49642746
31;135688.31819712;197581.21581680
32;122271.58329642;148162.15009098
33;112968.38282869;140656.92948121
34;141532.11927077;143703.98047308
35;158399.62695108;152021.32765278
36;175773.26563081;157076.00124262
37;211967.54644509;200496.68237696
38;280488.33690626;272104.42568677
39;318239.59917084;303641.92606400
40;286936.14612972;253487.37584876
41;342145.49899899;313280.62770159
42;316860.42938894;292084.26396840
43;298219.24986269;265177.19043181
